ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
B21,1,1,CS+,right,left,left,1,1,6,NaN
B21,2,1,CS+,right,left,right,1,1,5,NaN
B21,3,1,CS-,left,right,left,0,1,6,NaN
B21,4,1,CS+,left,left,left,1,1,6,NaN
B21,5,1,CS+,left,right,right,0,1,5,NaN
B21,6,1,CS-,left,right,right,0,1,6,NaN
B21,7,1,CS+,left,left,right,1,1,6,NaN
B21,8,1,CS-,right,right,right,1,1,4.1833,NaN
B21,9,1,CS+,left,right,left,0,0,6,NaN
B21,10,1,CS+,left,right,left,1,0,6,NaN
B21,11,1,CS-,left,left,left,1,1,6,NaN
B21,12,1,CS+,left,left,left,1,0,5,NaN
B21,13,1,CS-,right,left,left,1,1,3.4833,NaN
B21,14,1,CS+,right,right,left,1,1,2.9167,NaN
B21,15,1,CS-,right,left,right,1,0,2.4333,NaN
B21,16,1,CS-,left,left,right,NaN,NaN,NaN,NaN
B21,17,1,CS+,right,left,left,1,1,2.0333,NaN
B21,18,1,CS-,right,right,left,1,1,1.7,NaN
B21,19,1,CS-,left,right,left,1,1,5,NaN
B21,20,1,CS+,right,right,right,1,1,1.4167,NaN
B21,21,1,CS-,right,left,right,1,1,1.1833,NaN
B21,22,1,CS+,right,left,right,1,1,1,NaN
B21,23,1,CS-,left,right,right,0,0,4.1833,NaN
B21,24,1,CS-,right,right,left,NaN,NaN,NaN,NaN
B21,25,1,CS+,right,right,left,1,1,1,NaN
B21,26,1,CS-,left,left,left,0,1,5.8,NaN
B21,27,1,CS+,left,left,right,0,0,6,NaN
B21,28,1,CS-,right,right,left,1,1,1,NaN
B21,29,1,CS-,right,left,left,1,1,1,NaN
B21,30,1,CS+,right,right,right,1,1,1,NaN
B21,31,1,CS-,right,right,right,1,1,1,NaN
B21,32,1,CS+,left,right,right,0,1,6,NaN
B21,33,2,CS-,left,left,right,0,0,6,NaN
B21,34,2,CS-,left,left,right,0,0,6,NaN
B21,35,2,CS-,left,right,left,1,1,6,NaN
B21,36,2,CS+,left,right,left,0,0,6,NaN
B21,37,2,CS+,right,right,right,1,1,1,NaN
B21,38,2,CS-,right,right,left,1,1,1,NaN
B21,39,2,CS+,left,right,right,0,1,6,NaN
B21,40,2,CS-,left,left,left,1,1,6,NaN
B21,41,2,CS+,right,right,right,1,1,1,NaN
B21,42,2,CS+,right,left,left,1,1,1,NaN
B21,43,2,CS-,left,right,right,0,0,6,NaN
B21,44,2,CS+,left,left,left,1,0,6,NaN
B21,45,2,CS+,right,left,right,1,1,1,NaN
B21,46,2,CS-,left,left,left,1,0,6,NaN
B21,47,2,CS-,right,left,right,1,1,1,NaN
B21,48,2,CS+,right,left,left,1,1,1,NaN
B21,49,2,CS-,left,left,left,NaN,NaN,NaN,NaN
B21,50,2,CS-,right,right,right,1,1,1,NaN
B21,51,2,CS-,right,right,right,1,1,1,NaN
B21,52,2,CS+,right,right,left,1,1,1,NaN
B21,53,2,CS-,right,right,left,NaN,NaN,NaN,NaN
B21,54,2,CS-,right,left,left,1,1,1,NaN
B21,55,2,CS-,right,right,left,1,1,1,NaN
B21,56,2,CS+,left,left,right,1,1,5,NaN
B21,57,2,CS+,right,left,right,1,1,1,NaN
B21,58,2,CS-,left,left,right,1,1,5,NaN
B21,59,2,CS-,left,right,left,0,0,4.1833,NaN
B21,60,2,CS+,left,left,right,1,0,5.8,NaN
B21,61,2,CS-,left,right,right,0,0,5.8,NaN
B21,62,2,CS-,left,left,right,0,0,6,NaN
B21,63,2,CS+,left,left,left,1,1,6,NaN
B21,64,2,CS+,left,right,left,0,1,6,NaN
B21,65,3,CS-,right,left,left,1,1,1,NaN
B21,66,3,CS-,right,left,right,1,1,1,NaN
B21,67,3,CS+,left,right,right,0,0,6,NaN
B21,68,3,CS+,right,right,left,1,1,1,NaN
B21,69,3,CS-,right,left,right,1,1,1,NaN
B21,70,3,CS+,left,right,right,0,1,6,NaN
B21,71,3,CS-,right,right,right,1,1,1,NaN
B21,72,3,CS+,right,right,right,1,1,1,NaN
B21,73,3,CS-,left,right,right,0,0,6,NaN
B21,74,3,CS-,right,left,right,1,1,1,NaN
B21,75,3,CS+,right,left,right,1,1,1,NaN
B21,76,3,CS+,right,right,left,1,1,1,NaN
B21,77,3,CS-,right,left,left,1,1,1,NaN
B21,78,3,CS+,left,right,right,0,1,6,NaN
B21,79,3,CS-,left,left,right,1,0,6,NaN
B21,80,3,CS+,right,left,right,1,1,1,NaN
B21,81,3,CS+,left,left,right,0,1,6,NaN
B21,82,3,CS-,left,left,left,1,1,6,NaN
B21,83,3,CS-,left,right,left,NaN,NaN,NaN,NaN
B21,84,3,CS-,right,left,left,NaN,NaN,NaN,NaN
B21,85,3,CS+,right,left,left,1,1,1,NaN
B21,86,3,CS-,left,left,right,1,0,6,NaN
B21,87,3,CS+,right,right,right,1,1,1,NaN
B21,88,3,CS-,left,left,left,0,0,5,NaN
B21,89,3,CS-,right,right,left,1,1,1,NaN
B21,90,3,CS+,right,left,left,1,1,1,NaN
B21,91,3,CS-,right,left,left,0,1,1,NaN
B21,92,3,CS-,left,right,left,0,0,6,NaN
B21,93,3,CS+,left,right,left,1,1,6,NaN
B21,94,3,CS+,right,right,left,1,1,1.3833,NaN
B21,95,3,CS-,left,right,left,1,1,6,NaN
B21,96,3,CS+,left,left,right,1,0,5,NaN
B21,97,4,CS+,left,left,left,0,0,5,NaN
B21,98,4,CS-,left,right,right,1,1,6,NaN
B21,99,4,CS-,right,right,left,1,1,1.3833,NaN
B21,100,4,CS+,left,left,left,1,1,6,NaN
B21,101,4,CS-,right,right,right,1,1,1.1667,NaN
B21,102,4,CS+,left,right,left,1,0,5,NaN
B21,103,4,CS+,right,left,left,1,1,1.1667,NaN
B21,104,4,CS+,left,right,right,0,1,5,NaN
B21,105,4,CS-,left,left,right,1,0,6,NaN
B21,106,4,CS+,left,left,right,1,0,6,NaN
B21,107,4,CS+,right,left,right,1,1,1,NaN
B21,108,4,CS-,left,left,left,1,1,5,NaN
B21,109,4,CS-,left,right,left,NaN,NaN,NaN,NaN
B21,110,4,CS+,right,right,right,0,1,1,NaN
B21,111,4,CS-,right,left,left,NaN,NaN,NaN,NaN
B21,112,4,CS-,right,left,left,1,1,1.3833,NaN
B21,113,4,CS+,left,left,left,1,1,5,NaN
B21,114,4,CS-,left,right,right,0,1,4.1833,NaN
B21,115,4,CS+,right,left,right,1,1,1.3833,NaN
B21,116,4,CS+,left,right,left,0,0,5.8,NaN
B21,117,4,CS-,right,right,left,1,1,1.1667,NaN
B21,118,4,CS+,left,left,right,1,0,6,NaN
B21,119,4,CS-,right,left,left,1,1,1.1667,NaN
B21,120,4,CS+,right,right,right,1,1,1,NaN
B21,121,4,CS-,left,left,left,1,0,6,NaN
B21,122,4,CS-,left,right,left,0,0,5,NaN
B21,123,4,CS+,left,left,left,1,1,6,NaN
B21,124,4,CS-,left,right,left,0,1,6,NaN
B21,125,4,CS+,left,right,left,1,1,6,NaN
B21,126,4,CS-,right,right,left,1,1,1,NaN
B21,127,4,CS-,right,left,right,1,1,1,NaN
B21,128,4,CS+,right,right,left,1,1,1,NaN
