ID,trial,block,conditioning,eye,location,orientation,correctloc,correctid,duration,threshold
A15,1,1,CS+,left,left,left,1,0,6,NaN
A15,2,1,CS-,right,right,left,1,0,6,NaN
A15,3,1,CS+,left,left,right,1,0,5,NaN
A15,4,1,CS-,left,right,left,1,0,4.1833,NaN
A15,5,1,CS-,left,right,left,0,1,3.4833,NaN
A15,6,1,CS+,left,left,right,0,1,4.85,NaN
A15,7,1,CS-,left,left,right,0,0,6,NaN
A15,8,1,CS-,left,left,left,1,0,6,NaN
A15,9,1,CS+,left,right,right,1,0,6,NaN
A15,10,1,CS+,right,left,right,1,1,5,NaN
A15,11,1,CS-,right,left,right,0,1,4.1833,NaN
A15,12,1,CS-,right,left,left,NaN,NaN,NaN,NaN
A15,13,1,CS+,left,right,left,1,1,5,NaN
A15,14,1,CS+,right,right,left,0,0,5.8,NaN
A15,15,1,CS-,right,right,right,1,1,6,NaN
A15,16,1,CS-,right,right,right,0,1,6,NaN
A15,17,1,CS+,right,left,left,0,0,6,NaN
A15,18,1,CS+,right,right,left,1,0,6,NaN
A15,19,1,CS-,right,left,left,1,0,6,NaN
A15,20,1,CS-,left,right,right,1,1,5,NaN
A15,21,1,CS+,right,left,right,1,1,5,NaN
A15,22,1,CS-,left,left,left,0,0,4.1833,NaN
A15,23,1,CS+,right,right,right,1,1,5,NaN
A15,24,1,CS-,right,right,left,NaN,NaN,NaN,NaN
A15,25,1,CS+,left,left,left,1,0,5.8,NaN
A15,26,1,CS-,right,right,left,0,0,4.1833,NaN
A15,27,1,CS+,left,right,left,0,0,5.8,NaN
A15,28,1,CS-,left,left,right,1,1,6,NaN
A15,29,1,CS-,right,left,right,0,1,5.8,NaN
A15,30,1,CS+,right,right,right,1,1,6,NaN
A15,31,1,CS+,left,right,right,0,0,6,NaN
A15,32,1,CS-,left,right,right,1,1,6,NaN
A15,33,2,CS+,right,left,left,1,0,6,NaN
A15,34,2,CS-,right,left,left,0,0,5,NaN
A15,35,2,CS+,left,right,left,1,1,6,NaN
A15,36,2,CS-,right,left,right,1,1,6,NaN
A15,37,2,CS+,right,right,right,1,1,6,NaN
A15,38,2,CS+,right,left,left,1,1,5,NaN
A15,39,2,CS-,right,right,left,0,0,5,NaN
A15,40,2,CS-,left,right,left,1,0,5,NaN
A15,41,2,CS+,left,left,left,0,0,5,NaN
A15,42,2,CS+,left,left,left,1,1,6,NaN
A15,43,2,CS-,right,right,right,1,1,6,NaN
A15,44,2,CS+,right,right,left,1,1,6,NaN
A15,45,2,CS+,left,left,right,1,1,6,NaN
A15,46,2,CS-,left,right,left,NaN,NaN,NaN,NaN
A15,47,2,CS-,right,left,left,1,0,5,NaN
A15,48,2,CS+,right,left,right,1,1,5,NaN
A15,49,2,CS+,left,right,left,1,1,5,NaN
A15,50,2,CS-,left,left,right,0,1,5,NaN
A15,51,2,CS-,right,left,left,0,1,4.1833,NaN
A15,52,2,CS+,right,left,right,1,1,5.8,NaN
A15,53,2,CS-,right,right,left,1,1,5.8,NaN
A15,54,2,CS-,right,right,right,0,1,4.85,NaN
A15,55,2,CS-,right,right,left,NaN,NaN,NaN,NaN
A15,56,2,CS+,right,right,right,1,1,6,NaN
A15,57,2,CS-,left,left,left,1,0,6,NaN
A15,58,2,CS-,right,left,right,0,1,6,NaN
A15,59,2,CS+,right,left,left,1,1,6,NaN
A15,60,2,CS-,left,left,left,1,0,6,NaN
A15,61,2,CS-,left,right,right,1,1,5,NaN
A15,62,2,CS+,left,left,right,1,1,5,NaN
A15,63,2,CS-,left,left,right,1,0,4.1833,NaN
A15,64,2,CS+,right,right,left,1,1,6,NaN
A15,65,3,CS-,left,right,left,0,0,4.1833,NaN
A15,66,3,CS+,left,right,right,1,0,5.8,NaN
A15,67,3,CS-,left,right,right,0,1,5.8,NaN
A15,68,3,CS+,left,right,right,1,1,6,NaN
A15,69,3,CS-,right,left,right,0,0,5,NaN
A15,70,3,CS+,left,left,left,1,0,6,NaN
A15,71,3,CS+,right,left,right,1,1,6,NaN
A15,72,3,CS-,right,right,left,1,1,6,NaN
A15,73,3,CS+,left,left,left,0,1,5,NaN
A15,74,3,CS+,left,right,left,1,0,6,NaN
A15,75,3,CS-,left,right,left,NaN,NaN,NaN,NaN
A15,76,3,CS-,left,left,right,1,1,6,NaN
A15,77,3,CS+,left,right,left,1,1,5,NaN
A15,78,3,CS-,left,right,left,0,0,5,NaN
A15,79,3,CS-,left,left,left,NaN,NaN,NaN,NaN
A15,80,3,CS+,right,left,left,1,1,5,NaN
A15,81,3,CS+,right,right,right,1,1,5,NaN
A15,82,3,CS-,left,left,left,1,0,6,NaN
A15,83,3,CS-,right,right,right,1,1,4.1833,NaN
A15,84,3,CS+,left,right,right,1,1,6,NaN
A15,85,3,CS+,right,left,left,1,1,4.1833,NaN
A15,86,3,CS-,right,right,right,1,1,3.4833,NaN
A15,87,3,CS-,left,left,right,0,1,5,NaN
A15,88,3,CS+,right,right,right,1,1,3.4833,NaN
A15,89,3,CS-,left,right,right,1,1,6,NaN
A15,90,3,CS-,left,left,left,0,0,6,NaN
A15,91,3,CS+,right,left,right,1,1,2.9167,NaN
A15,92,3,CS+,left,left,right,0,1,6,NaN
A15,93,3,CS-,right,left,left,1,0,2.9167,NaN
A15,94,3,CS+,left,right,right,1,1,6,NaN
A15,95,3,CS+,right,right,left,0,1,2.4333,NaN
A15,96,3,CS-,left,right,right,1,1,6,NaN
A15,97,4,CS+,right,right,left,1,1,3.3833,NaN
A15,98,4,CS-,left,right,left,0,0,5,NaN
A15,99,4,CS-,right,right,left,1,0,3.3833,NaN
A15,100,4,CS+,left,left,right,1,1,6,NaN
A15,101,4,CS-,right,left,right,0,1,2.8167,NaN
A15,102,4,CS-,right,left,left,1,0,3.9167,NaN
A15,103,4,CS-,left,left,left,1,0,6,NaN
A15,104,4,CS+,right,left,left,1,1,3.9167,NaN
A15,105,4,CS+,right,right,left,1,0,3.2667,NaN
A15,106,4,CS-,left,right,left,0,0,5,NaN
A15,107,4,CS+,left,right,left,1,1,6,NaN
A15,108,4,CS-,left,right,right,0,1,6,NaN
A15,109,4,CS-,right,right,left,1,0,3.2667,NaN
A15,110,4,CS+,left,left,left,0,1,6,NaN
A15,111,4,CS-,left,right,left,0,0,6,NaN
A15,112,4,CS+,left,right,right,1,1,6,NaN
A15,113,4,CS-,right,right,right,0,0,2.7333,NaN
A15,114,4,CS+,left,left,right,1,1,6,NaN
A15,115,4,CS+,right,left,right,1,1,3.7833,NaN
A15,116,4,CS-,left,left,right,0,1,5,NaN
A15,117,4,CS-,left,left,left,NaN,NaN,NaN,NaN
A15,118,4,CS+,left,left,left,1,1,6,NaN
A15,119,4,CS-,right,left,left,1,0,3.7833,NaN
A15,120,4,CS+,left,right,right,1,1,6,NaN
A15,121,4,CS+,right,right,left,1,1,3.1667,NaN
A15,122,4,CS-,right,left,left,NaN,NaN,NaN,NaN
A15,123,4,CS-,left,left,left,0,0,5,NaN
A15,124,4,CS-,left,left,right,1,1,6,NaN
A15,125,4,CS+,right,left,left,1,1,3.1667,NaN
A15,126,4,CS-,right,right,left,1,0,2.6333,NaN
A15,127,4,CS-,right,left,left,1,0,2.6333,NaN
A15,128,4,CS+,right,right,right,1,1,2.2,NaN
A15,129,5,CS-,left,right,right,0,1,6,NaN
A15,130,5,CS+,right,right,right,1,0,2.2,NaN
A15,131,5,CS-,right,right,right,1,1,1.8333,NaN
A15,132,5,CS+,left,right,left,1,1,6,NaN
A15,133,5,CS-,right,left,right,0,0,1.8333,NaN
A15,134,5,CS+,left,left,right,1,1,6,NaN
A15,135,5,CS-,right,left,right,0,0,2.55,NaN
A15,136,5,CS+,right,left,right,1,1,3.55,NaN
